,레시피일련번호,레시피제목,요리명,등록자ID,등록자명,조회수,추천수,스크랩수,요리방법,요리상황,요리재료별명,요리종류,요리소개,요리재료들,요리인분,요리난이도,요리시간,최초등록일,ingre1
16,6929755,요즘 제철인 유채나물 조기조림,유채나물조기조림,rh0301,lee쉐프,1459,0,11,조림,일상,채소류,메인반찬,오늘 집콕 메뉴은 냉장고에 있는 조기와 요즘 제철인 유채나물로 조림을 만들어 봤습니다. 유채나물의 쌉쌀한 맛이 살짝나 은근히 밥을 부르는 맛입니다. 매일 요렇게 맛나게 먹으니 다이어트는 당연히 안되겠지요.ㅎ,[재료] 유채나물 370g| 조기 3마리| 양파 1/4개| 청양고추 2개| 홍고추 1개| 대파 1/2대| 다시마 밑국물 1컵| 생강 맛술 1큰술| 소금 약간 [양념] 진간장 3큰술| 고추가루 2큰술| 매실청 2큰술| 참치액 1작은술| 다진마늘 1큰술| 올리고당 1큰술| 생강즙 1/2작은술| 참기름 1큰술| 후추 약간,3인분,초급,30분이내,2.02E+13," 유채나물, 조기, 양파, 청양고추, 고추, 대파, 다시마, 맛술, 소금, 진간장, 고춧가루, 매실청, 참치액, 다진마늘, 올리고당, 생강즙, 참기름, 후추"
17,6929764,< 반찬> 두부볶음,두부마파,30810305,요리조이,620,0,24,볶음,일상,채소류,밑반찬,< 간단요리 > 따뜻할 때 밥반찬으로 최고입니다 ,[재료] 두부 300g| 양파 1/3개| 마늘 7개 [양념] 굴소스 1T| 진간장 1T| 올리고당 1T| 참기름 1T| 통깨 적당량,3인분,초급,15분이내,2.02E+13," 두부, 양파, 마늘, 굴소스, 진간장, 올리고당, 참기름, 통깨"
18,6929765,칠게볶음 ,칠게볶음,28613027,마미집밥,2413,0,25,볶음,일상,해물류,메인반찬,시장에 나갔더니 무안칠게다고 살아서 기어다니네여^^ 통째로 요리해서 바싹튀겨 볶아내니.. 별미네요..,[재료] 칠 게 500g| 홍고추 1개| 청고추 1개| 양파 4/1개| 쪽파 5개| 올리브유 3/1컵| 통깨 1t| 참기름 1t| 전분가루 2스푼 [양념] 간장 2스푼| 맛술 1스푼| 매실액 1스푼| 생강술 1t| 고추가루 1스푼| 고추장 1스푼| 다진마늘 1t| 후추 조금| 굴소스 1t| 올리고당 1스푼,4인분,초급,60분이내,2.02E+13," 칠게, 고추, 양파, 쪽파, 올리브유, 통깨, 참기름, 전분가루, 간장, 맛술, 매실액, 생강술, 고춧가루, 고추장, 다진마늘, 후추, 굴소스, 올리고당"
19,6929767, 채소 계란말이 만드는 법 ,채소계란말이,98924365,815요리사랑,1089,0,28,부침,일상,달걀/유제품,메인반찬,채소 계란말이 예쁘게 마는 방법,[재료] 계란 4개| 데친시금치| 파프리카 1/4개| 식용유 [양념] 고운소금| 청주,4인분,아무나,30분이내,2.02E+13," 달걀, 시금치, 파프리카, 식용유, 소금, 청주"
20,6929770,대용량 반찬 파달걀말이 만드는 법,파달걀말이,qkrfp458,레몬콩,879,0,24,부침,일상,달걀/유제품,메인반찬,달걀과 파의 조합은 언제나 옳다는걸 다들 잘 알고 계씨죠? 요즘에는 매일 찜만 해먹었는데 갑자기 말이가 먹고싶어서 노릇하게 구워본 파달걀말이랍니다! 파의 향긋함은 구워진 달걀과도 참 잘어울려요,[재료] 달걀 3개| 대파 1개| 소금 1~2t,2인분,아무나,10분이내,2.02E+13," 달걀, 대파, 소금"
21,6929780,다쿠아즈 : Dacquoise 단짠의 솔티캐러멜과 묵진한 버터크림으로 다쿠와즈만들기 ♥,다쿠아즈,gdubu33,만개의레시피,15682,0,500,굽기,간식,달걀/유제품,디저트,폭신한 식감과 고소한 아몬드의 맛에 중독될 시간!  오늘의 베이킹 영상은 다쿠아즈를 소개합니다!  마카롱샌딩크림으로도 사용할 수있는  중독적인 다쿠아즈 레시피! 홈베이킹 영상 천천 보시면서 집에서 시간 활용! 입도 활용!  세상의 모든 레시피 만개의레시피 ,[다쿠아즈반죽] 달걀흰자 110g| 설탕 40g| 아몬드가루 75g| 슈가파우더 55g| 박력분 20g [솔티드카라멜] 설탕 100g| 생크림 100g| 소금 1꼬집 [버터크림] 버터 150g| 설탕 75g| 달걀노른자 45g| 물 30g,4인분,초급,90분이내,2.02E+13," 달걀, 설탕, 아몬드가루, 슈가파우더, 박력분, 설탕, 생크림, 소금, 버터, 설탕, 물 "
22,6929785,땡초알리올리오 ,땡초알리올리오,78409568,YunsKitchen,570,0,3,기타,일상,기타,양식,파스타는 레스토랑은 비쌈 집에서 더욱 맛있는 파스타를 만드세요 https://youtu.be/lan_NaIMmMU 영상을 보시면 잔잔한음악이랑 요리영상을 즐길수 있습니다^^,[재료] 파스타면| 마늘| 땡초| 콜비치즈 [양념] 소금| 올리브| 후추,1인분,아무나,15분이내,2.02E+13," 파스타면, 마늘, 청양고추, 콜비치즈, 소금, 올리브, 후추"
23,6929790,시금치나물 시금치 고추장무침 색다르고 맛있네요,시금치고추장무침,limsu11,스마일로즈의건강밥상,5134,0,116,무침,일상,채소류,메인반찬,시금치나물은 소금이나 국간장 액젓에 묻혀서 먹는 게 일상이지만  가끔은 색다른 맛으로 먹고 싶을 때는 고추장에 묻히면 맛있답니다 시금치나물 #고추장무침도 만들어 드셔보세요,[재료] 시금치 데친 것 200g | 쪽파다진것 1큰술| 천일염 1큰술 [재료] 고추장1큰술 | 올리고당1작은술 | 매실청1큰술| 다진마늘 1큰술| 깨소금1큰술| 참기름 1큰술,4인분,초급,15분이내,2.02E+13," 시금치, 쪽파, 천일염, 고추장, 올리고당, 매실청, 다진마늘, 깨소금, 참기름"
24,6929794,대용량반찬/반건조 아귀찜,반건조아귀찜,loveshine707,쿡따라,3466,0,50,찜,영양식,해물류,메인반찬,맛집 저리가라 할 만큼ㅋ 우리가족 입맛 제대로 저격한 매운 반건조 아귀찜 소개해 드릴게요^^* 중독성 갑인 매운 아귀찜은 입맛도 살려주고 스트레스도 한방에 날려 주더라구요ㅎ  ,[재료] 반건조 아귀 1팩| 콩나물 150g| 돌미나리 100g| 대파 1개| 청양고추 2개| 양파 1/2개| 고추기름 2스푼| 된장 1.5스푼| 맛술 1/3컵| 참기름| 깨소금| 후추 약간씩 [물전분] 전분가루 2스푼| 물 3스푼 [양념] 고춧가루 8스푼| 다진마늘 2스푼| 다진생강 0.5스푼| 간장 3스푼| 멸치액젓 1스푼| 굴소스 1스푼| 양파즙 5스푼| 황설탕 1스푼,5인분,초급,30분이내,2.02E+13," 아귀, 콩나물, 돌미나리, 대파, 청양고추, 양파, 고추기름, 된장, 맛술, 참기름, 깨소금, 후추, 전분가루, 물, 고춧가루, 다진마늘, 생강, 간장, 멸치액젓, 굴소스, 양파즙, 황설탕"
25,6929795,판자넬라:밥이 되는 브레드샐러드,판자넬라,89234500,재미마미,509,0,14,무침,일상,채소류,샐러드,판자넬라는 이탈리아 토스카나 지방에서   마른 빵을 버리지 않고 불려서 토마토와 채소들에 버무려 먹으면서 시작된 요리. 일종의 브레드샐러드인데 요즘은 주로 빵을 올리브오일에 구워 넣는다고 해요. 빵과 토마토  올리브오일 등 그외의 재료를 냉장과 사정껏 넣어주시면 되요. ,[재료] 식빵 2쪽| 사과 1/2개| 토마토 씨빼고 1개| 양파 1/2개| 루꼴라| 잣| 견과류| 식초 4~6큰술| 올리브오일 4큰술| 소금| 후추 [다른 버전(기본)] 식빵 2장| 오이 1개| 양파 1/2개| 토마토 씨빼고 1개| 바질| 식초 4큰술| 올리브오일 4큰술| 소금| 후추,3인분,아무나,,2.02E+13," 식빵, 사과, 토마토, 양파, 루꼴라, 잣, 견과류, 식초, 올리브오일, 소금, 후추, 오이, 바질"
26,6929804,열무보리비빔밥:부추무생채가 들어가 더 맛있어요,열무보리비빔밥,89234500,재미마미,1916,0,9,비빔,일상,채소류,밥/죽/떡,열무비빔밥에 부추무생채를 넣어 맛을 더 풍부하게 만든 열무보리비빔밥이에요.,[재료] 보리현미밥 1인분| 열무김치| 부추무생채| 고추장| 참기름| 달걀프라이,1인분,아무나,15분이내,2.02E+13," 현미, 열무김치, 부추무생채, 고추장, 참기름, 달걀"
27,6929807,터키디저트 바클라바,바클라바,ardour,초록바람N,2139,0,56,굽기,간식,콩/견과류,디저트,얼마전 쿠키 책을 구경하다가 보게 된 디저트~! 바클라바~! 터키나 중동에서 먹는 디저트로 특별한 날에 먹는 최고의 디저트라고 하는데 완성해서 먹어보니 무척 달달하고 바삭바삭한 맛이 참 일품이더라구요. 무척 색다르고 맛있는 디저트였어요. ?책으로 처음 접해보는 디저트였는데 만드는 방법을 곰곰히 보아하니 만드는게 그리 어렵지는 않아 보였습니다. 마침 필요한 필로페스트리도 있었기에 바로 만들어 보았죠. 정성이 조금 들어가긴 하지만 처음 만져보는 필로페스트리도 신기했고 맛도 만드는 공정도 무척 신기했던 디저트에요. 색다른 디저트~! 바클로바~! 만들어보아요~,[재료(20 cm * 20 cm * 5cm 직사각형 틀 한개분)] 필로페스트리 10장| 무염버터 200g| 피칸 150g| 아몬드 50g| 피스타치오 30g| 시나몬 파우더 2/3ts| 위에 뿌릴 굵게 다진 피스타치오 약간 [시럽] 물 100g| 설탕 80g| 레몬즙 30g| 밤꿀 40g,4인분,아무나,90분이내,2.02E+13," 필로페스트리, 무염버터, 피칸, 아몬드, 피스타치오, 시나몬파우더, 피스타치오, 물, 설탕, 레몬즙, 꿀"
28,6929815,대용량반찬/반건조 꽃돔조림,반건조꽃돔조림,loveshine707,쿡따라,737,1,9,조림,일상,해물류,메인반찬,구이  조림  찜등 어떤 조리법도 잘 어울리는 반건조 생선 꽃돔으로 된장 넣고 조림반찬 만들어 봤어요~ 사이즈가 작은 생선인데도 살집은 두툼해 먹을게 많고 간간하게 간이 배이게 조렸더니 완전 밥도둑이더라구요ㅎㅎ  ,[재료] 반건조 꽃 돔 8마리| 무 150g| 양파 1/2개| 청양고추 2개| 포도씨유 1스푼| 후추 약간 [조림양념] 간장 3스푼| 물 1컵| 소금 1티스푼| 다진마늘| 된장| 생강술 0.5스푼씩| 매실청| 맛술 2스푼씩| 올리고당 1스푼,4인분,초급,,2.02E+13," 돔, 무우, 양파, 청양고추, 포도씨유, 후추, 간장, 물, 소금, 다진마늘, 된장, 생강술, 매실청, 맛술, 올리고당"
29,6929816,대용량반찬/원추리나물무침,원추리나물무침,loveshine707,쿡따라,761,0,17,무침,일상,채소류,밑반찬,망우초라고도 불리는 원추리는 비타민C가 풍부해춘곤증과 피로회복에 좋고 우울증과 스트레스해소에도 좋다고 해요~ 달콤매콤하게 고추장양념으로 조물조물 무쳐낸 달큰한 원추리나물무침입니다 된장 베이스도 잘 어울리지만 고추장 베이스도 넘 잘 어울리는 봄나물입니다    ,[재료] 원추리 1소쿠리| 굵은소금 1스푼 [양념] 고추장 1스푼| 다진마늘 1스푼| 간장 1스푼| 매실청 2스푼| 황설탕 0.5스푼| 참기름 1스푼| 깨소금 약간,3인분,초급,10분이내,2.02E+13," 원추리, 소금, 고추장, 다진마늘, 간장, 매실청, 설탕, 참기름, 깨소금"
30,6929822,굴비구이에 달래 올려 먹으니 봄을 먹어요,굴비구이,angela0501,하나숲,641,0,6,부침,일상,해물류,밑반찬,굴비구이에 달래를 올려 먹으니 달래향이 향긋하여 봄이 왔네요 굴비살에 달래향이 어우러저 봄 입맛 돋우어 줍니다,[재료] 굴비 4마리| 카놀라유 적당량| 달래 1/2줌| 고추가루 1티스푼| 청양고추 1개| 생강효소 1티스푼| 양조간장 1스푼| 통깨 1티스푼| 참기름 1티스푼,4인분,아무나,,2.02E+13," 굴비, 카놀라유, 달래, 고춧가루, 청양고추, 생강효소, 양조간장, 통깨, 참기름"
31,6929828,단호박 요리 / 단호박 카레,단호박카레,62929808,요알남Mingstar,1943,0,18,끓이기,일상,채소류,밑반찬,단호박은 서양계 호박의 한 품종으로 당도가 높고 밤 맛이 난다 하여 밤호박이라고도 합니다. 풍부한 당질과 영양분에 비해 열량은 낮고  식이섬유가 풍부하여 소화를 돕습니다. 흔히 알고 있는 색깔이 아니라 주황색의 단호박을 구입하였습니다. 05:00 부터 보세요.,[재료] 단호박 1/4개| 양파 1/2개| 당근 1/2개| 식용유 3Ts| 소금 1꼬집| 후춧가루 1꼬집| 물 300ml| 카레가루 7Ts,1인분,아무나,30분이내,2.02E+13," 단호박, 양파, 당근, 식용유, 소금, 후추, 물, 카레가루"
32,6929845,향긋해서 더 ?있는 참나물 도토리묵 무침,참나물도토리묵무침,55225306,노루네,2338,1,61,무침,초스피드,기타,기타,야들 쫀득 쌉싸레한 도토리묵이 참나물과 만나서 더 매력적인 맛이랍니다,[재료] 도토리묵1모| 오이1개| 당근 1/2개| 참나물1공기| 대파1뿌리 [양념] 간장2스픈| 다진마늘1스픈| 고춧가루2스픈| 참기름1스픈| 통깨,4인분,아무나,10분이내,2.02E+13," 도토리묵, 오이, 당근, 참나물, 대파, 간장, 다진마늘, 고춧가루, 참기름, 통깨"
33,6929852,[대용량반찬]쪽파 김무침~*,쪽파김무침,62299079,밥차리라,1811,0,44,무침,초스피드,채소류,밑반찬,간단 반찬 쪽파김무침,[재료] 김4장| 쪽파 적당량 [양념] 맛간장2큰술| 갈색설탕 조금| 다진마늘 1/2큰술| 깨소금 1/2큰술| 들기름2큰술| 액젓 약간,2인분,아무나,10분이내,2.02E+13," 김, 쪽파, 맛간장, 설탕, 다진마늘, 깨소금, 들기름, 액젓"
34,6929860,대용량 반찬 미나리 쪽파 오이 겉절이,미나리쪽파오이겉절이,rh0301,lee쉐프,2892,0,98,무침,일상,채소류,밑반찬,바이러스로 인해 집콕하면서 매끼 반찬하는 것도 그리 만만하지는 않을듯합니다 오늘은 많은 양을 좀더 오래 두고 먹을 수 있는 반찬을 해봤습니다 하자마자 부터 바로 먹을수있는 미나리 쪽파 오이 겉절이입니다 오이는 아삭  미나리는 향긋 쪽파의 알싸함에 밥 한그릇 뚝딱입니다.,[재료] 미나리 450g| 쪽파 200g| 오이 2개| 당근 1/2개| 양파 1/2개| 갈은 흰밥 1/2컵| 천일염 1작은술| 설탕 1큰술 [양념] 멸치액젓 3큰술| 고추가루 1컵| 다진마늘 2큰술| 참치액 2큰술| 깨 2큰술,6인분이상,초급,60분이내,2.02E+13," 미나리, 쪽파, 오이, 당근, 양파, 밥, 천일염, 설탕, 멸치액젓, 고춧가루, 다진마늘, 참치액, 깨"
35,6929866,바삭한 코코넛 마늘바게트,코코넛마늘바게트,80224556,pipi75,361,0,10,굽기,초스피드,기타,빵,초간단하고 아이들 간식으로  어른들 안주로도 좋아요. 코코넛향이 풍미를 더해주고 설탕대신 올리고당을 넣어서 건강하고 맛있는 레시피에요.,[재료] 자른 바게트 4조각 [양념] 코코넛오일 0.5 T| 파슬리가루 적당량| 다진마늘 0.5 ~ 1 T| 올리고당 1 T,1인분,아무나,10분이내,2.02E+13," 바게트, 코코넛오일, 파슬리, 다진마늘, 올리고당"
36,6929868,한그릇요리  미나리 볶음밥 만드는법,미나리볶음밥,68447774,라비디떼,3014,1,124,볶음,초스피드,쌀,밥/죽/떡,봄내음 가득 미나리! 휘리릭 볶아서 먹어요. 미나리에는 비타민이 많고 무기질  섬유질도 많아서 해독과 혈액을 정화시키는데 좋다고해요.,[재료] 미나리 1공기| 밥 1공기 [양념] 식용유 2큰술| 다진마늘 1티스푼| 소금 약간| 참기름 2큰술| 통깨 1큰술,1인분,아무나,10분이내,2.02E+13," 미나리, 밥, 식용유, 다진마늘, 소금, 참기름, 통깨"
37,6929880,추러스 만들기,추러스,tnstnr001,CalliopeLife,1190,0,37,튀김,간식,밀가루,디저트,우리집 아이들 어릴때 많이 만들어 주었던 추러스 랍니다. 사실 어른  아이 다 좋아하는 간식이기도 하지요. 주말 아이들과 만들어 먹으면 좋을 것 같아 포스팅 해봐요. ,[재료] 박력분 100g| 강력분 100g| 우유 250g| 버터 50g| 달걀 3개| 럼주 5큰술 [부재료] 식용유| 설탕| 시나몬가루,4인분,아무나,60분이내,2.02E+13," 박력분, 강력분, 우유, 버터, 달걀, 럼, 식용유, 설탕, 시나몬가루"
38,6929881,아삭한 근대 무침,근대무침,rh0301,lee쉐프,2747,0,102,무침,일상,채소류,밑반찬,근대는 주로 된장국 재료로 쓰여지는데 오늘은 근대 무침을 해봤습니다. ,[재료] 근대 300g| 소금 약간 [양념] 다진대파 1큰술| 다진마늘 1/2큰술| 진간장 1작은술| 고추장 1큰술| 참치액 1작은술| 매실청 1큰술| 참기름 1큰술,3인분,아무나,15분이내,2.02E+13," 근대, 소금, 대파, 다진마늘, 진간장, 고추장, 참치액, 매실청, 참기름"
